Time (s),Voltage (V)
0.0,-23.07
0.1,-23.35
0.2,-23.35
0.3,-22.8
0.4,-23.63
0.5,-23.35
0.61,-23.63
0.71,-23.07
0.81,-23.35
1.01,-23.07
1.11,-23.35
1.21,-23.35
1.31,-23.35
1.41,-23.35
1.51,-23.35
1.61,-23.35
1.72,-23.63
1.82,-23.63
1.92,-23.07
2.02,-23.35
2.12,-23.35
2.32,-23.63
2.42,-23.07
2.52,-23.07
2.62,-23.63
2.72,-23.07
2.83,-23.07
2.93,-23.63
3.03,-23.35
3.13,-23.35
3.23,-23.35
3.33,-23.63
3.43,-23.35
3.63,-23.35
3.73,-23.07
3.83,-23.35
3.94,-23.63
4.04,-23.07
4.14,-23.63
4.24,-23.35
4.34,-23.07
4.44,-23.07
4.54,-23.35
4.64,-23.35
4.74,-23.35
4.94,-23.07
5.05,-23.07
5.15,-23.35
5.25,-23.35
5.35,-23.35
5.45,-23.35
5.55,-23.63
5.65,-23.35
5.75,-23.63
5.85,-23.63
5.95,-23.63
6.05,-23.63
6.16,-23.35
6.36,-23.63
6.46,-23.35
6.56,-23.35
6.66,-23.35
6.76,-23.35
6.86,-23.35
6.96,-23.07
7.06,-23.07
7.16,-23.63
7.27,-23.63
7.47,-23.07
7.57,-23.63
7.67,-23.63
7.77,-23.63
7.87,-23.35
7.97,-23.35
8.07,-23.63
8.17,-23.35
8.27,-23.07
8.38,-23.35
8.48,-23.35
8.58,-23.35
8.78,-23.63
8.88,-23.63
8.98,-23.35
9.08,-23.35
9.18,-23.63
9.28,-23.35
9.38,-23.35
9.49,-23.63
9.59,-23.35
9.69,-23.35
9.79,-23.35
9.89,-23.07
10.09,-23.07
10.19,-23.63
10.29,-23.35
10.39,-23.07
10.5,-23.35
10.6,-23.63
10.7,-23.63
10.8,-23.35
10.9,-23.35
11.0,-23.63
11.1,-23.35
11.2,-23.35
11.4,-23.35
11.5,-23.35
11.61,-23.35
11.71,-23.63
11.81,-23.07
11.91,-23.35
12.01,-23.07
12.11,-23.63
12.21,-23.35
12.31,-22.8
12.41,-23.35
12.51,-23.35
12.61,-23.35
12.82,-23.35
12.92,-23.63
13.02,-23.35
13.12,-23.35
13.22,-23.07
13.32,-23.35
13.42,-23.63
13.52,-23.35
13.63,-23.91
13.73,-23.35
13.83,-23.07
13.93,-23.35
14.13,-23.07
14.23,-23.07
14.33,-23.63
14.43,-23.63
14.53,-23.07
14.64,-23.07
14.74,-23.07
14.84,-23.07
14.94,-22.8
15.04,-23.63
15.14,-23.07
15.24,-23.35
15.44,-23.07
15.54,-23.35
15.64,-23.07
15.75,-23.07
15.85,-23.63
15.95,-23.63
16.05,-23.07
16.15,-23.07
16.25,-23.07
16.35,-23.07
16.45,-23.35
16.55,-23.35
16.75,-23.35
16.86,-23.07
16.96,-23.07
17.06,-23.07
17.16,-23.35
17.26,-23.63
17.36,-23.35
17.46,-23.35
17.56,-23.35
17.66,-23.35
17.76,-23.63
17.86,-23.63
18.07,-23.35
18.17,-23.07
18.27,-23.07
18.37,-23.07
18.47,-23.07
18.57,-23.35
18.67,-23.07
18.77,-23.35
18.87,-23.35
18.98,-23.35
19.08,-23.35
19.18,-23.35
19.28,-23.07
19.48,-23.63
19.58,-23.07
19.68,-23.07
19.78,-23.35
19.88,-23.91
19.99,-23.35
20.09,-23.35
20.19,-23.35
20.29,-23.63
20.39,-23.07
20.49,-23.07
20.59,-23.35
20.79,-23.63
20.89,-23.35
21.0,-23.91
21.1,-23.63
21.2,-23.07
21.3,-23.35
21.4,-23.63
21.5,-23.35
21.6,-23.63
21.7,-23.35
21.8,-23.63
21.9,-23.35
22.11,-23.35
22.21,-23.35
22.31,-23.35
22.41,-23.35
22.51,-23.35
22.61,-23.35
22.71,-23.63
22.81,-23.63
22.91,-23.63
23.01,-23.35
23.11,-23.07
23.22,-23.63
23.42,-23.35
23.52,-23.07
23.62,-23.35
23.72,-23.35
23.82,-23.35
23.92,-23.35
24.02,-23.35
24.12,-23.35
24.23,-23.35
24.33,-23.35
24.43,-23.07
24.53,-23.35
24.73,-23.35
24.83,-23.35
24.93,-23.35
25.03,-23.35
25.13,-23.35
25.24,-23.35
25.34,-23.63
25.44,-23.35
25.54,-23.35
25.64,-23.63
25.74,-23.63
25.84,-23.35
26.04,-23.35
26.14,-23.35
26.25,-23.35
26.35,-23.35
26.45,-23.35
26.55,-23.07
26.65,-23.63
26.75,-23.63
26.85,-23.07
26.95,-22.8
27.05,-23.63
27.15,-23.07
27.25,-23.63
27.46,-23.35
27.56,-23.07
27.66,-23.35
27.76,-23.35
27.86,-23.35
27.96,-23.35
28.06,-23.07
28.16,-23.63
28.26,-23.35
28.36,-23.35
28.47,-23.07
28.57,-23.63
28.77,-23.63
28.87,-23.35
28.97,-23.35
29.07,-23.07
29.17,-23.07
29.27,-22.52
29.37,-3.03
29.48,-3.03
29.58,-287.82
29.68,-287.82
29.78,-287.82
29.88,-287.82
30.08,-287.82
30.18,-287.82
30.28,-287.82
30.38,-287.82
30.49,-287.82
30.59,-287.82
30.69,-287.82
30.79,-287.82
30.89,-287.82
30.99,-287.82
31.09,-287.82
31.19,-287.82
31.39,-287.82
31.5,-287.82
31.6,-287.82
31.7,-287.82
31.8,-287.82
31.9,-287.82
32.0,-287.82
32.1,-287.54
32.2,-287.82
32.31,-287.82
32.4,-287.82
32.51,-287.82
32.61,-287.82
32.81,-287.82
32.91,-287.82
33.01,-287.54
33.11,-287.82
33.21,-287.82
33.31,-287.82
33.42,-287.82
33.52,-287.82
33.62,-287.82
33.72,-287.82
33.82,-287.82
33.92,-287.82
34.12,-287.82
34.22,-287.82
34.33,-287.82
34.43,-287.82
34.53,-287.54
34.63,-287.82
34.73,-287.82
34.83,-287.82
34.93,-287.82
35.03,-287.82
35.13,-287.82
35.23,-287.82
35.44,-287.82
35.54,-287.54
35.64,-287.82
35.74,-287.82
35.84,-287.82
35.94,-287.82
36.04,-287.82
36.14,-287.82
36.24,-287.82
36.35,-287.82
36.45,-287.82
36.55,-287.82
36.75,-287.82
36.85,-287.82
36.95,-287.82
37.05,-287.82
37.15,-287.82
37.26,-287.82
37.36,-287.82
37.46,-287.82
37.56,-287.82
37.66,-287.82
37.76,-287.82
37.86,-287.82
37.96,-287.82
38.16,-287.82
38.26,-287.82
38.37,-287.82
38.47,-287.82
38.57,-287.82
38.67,-287.82
38.77,-287.82
38.87,-287.82
38.97,-287.82
39.07,-287.82
39.17,-287.82
39.28,-287.82
39.48,-287.54
39.58,-287.82
39.68,-287.82
39.78,-287.82
39.88,-287.82
39.98,-287.82
40.08,-287.82
40.18,-287.82
40.29,-287.82
40.39,-287.82
40.49,-287.82
40.59,-287.82
40.79,-287.82
40.89,-287.82
40.99,-287.82
41.09,-287.82
41.19,-287.82
41.29,-287.82
41.4,-287.82
41.5,-287.82
41.6,-287.82
41.7,-287.82
41.8,-287.82
41.9,-287.82
42.0,-287.82
42.21,-287.82
42.31,-287.82
42.41,-287.82
42.51,-287.82
42.61,-287.82
42.71,-287.82
42.81,-287.82
42.91,-287.82
43.01,-287.82
43.11,-287.82
43.32,-287.82
43.42,-287.82
43.52,-287.82
43.62,-287.82
43.72,-287.82
43.82,-287.82
43.92,-287.82
44.02,-287.82
44.12,-287.82
