Time (s),Voltage (V)
131.45,-100.03
131.65,-100.03
131.85,-99.48
132.05,-99.48
132.25,-100.03
132.45,-99.2
132.65,-99.48
132.85,-99.75
133.05,-99.2
133.26,-99.2
133.46,-98.92
133.66,-99.2
133.86,-99.2
134.06,-99.2
134.26,-99.48
134.46,-99.2
134.66,-99.48
134.86,-99.2
135.07,-99.2
135.27,-98.92
135.47,-98.92
135.67,-98.64
135.87,-98.92
136.07,-98.92
136.27,-98.64
136.47,-98.92
136.67,-98.64
136.88,-98.64
137.08,-98.36
137.28,-98.64
137.48,-98.64
137.68,-98.08
137.88,-98.36
138.08,-98.08
138.28,-98.36
138.48,-98.08
138.68,-98.36
138.88,-98.08
139.09,-98.08
139.29,-98.08
139.49,-98.08
139.69,-98.08
139.89,-97.52
140.09,-97.8
140.29,-98.08
140.49,-97.52
140.69,-97.52
140.9,-97.8
141.1,-97.8
141.3,-97.8
141.5,-97.52
141.7,-97.52
141.9,-97.8
142.1,-97.24
142.3,-97.52
142.5,-97.24
142.7,-97.52
142.91,-96.97
143.11,-96.97
143.31,-96.97
143.51,-96.69
143.71,-96.97
143.91,-96.69
144.11,-96.69
144.31,-96.97
144.51,-96.69
144.71,-97.24
144.91,-96.69
145.12,-96.41
145.32,-96.69
145.52,-96.69
145.72,-96.69
145.92,-96.69
146.12,-96.97
146.32,-96.41
146.52,-96.13
146.72,-96.69
146.93,-96.41
147.13,-95.85
147.33,-96.41
147.53,-96.41
147.73,-95.85
147.93,-96.13
148.13,-96.13
148.33,-96.13
148.53,-95.85
148.73,-96.41
148.94,-95.85
149.14,-95.57
149.34,-95.57
149.54,-95.85
149.74,-95.29
149.94,-95.57
150.14,-95.57
150.34,-95.57
150.54,-95.57
150.74,-95.85
150.95,-95.29
151.15,-95.57
151.35,-95.29
151.55,-95.57
151.75,-95.57
151.95,-95.29
152.15,-94.73
152.35,-95.29
152.55,-95.01
152.75,-95.29
152.96,-94.73
153.16,-95.01
153.36,-94.73
153.56,-95.29
153.76,-94.73
153.96,-94.73
154.16,-94.73
154.36,-95.01
154.56,-95.01
154.76,-94.73
154.97,-94.46
155.17,-95.01
155.37,-94.46
155.57,-94.73
155.77,-94.46
155.97,-94.18
156.17,-94.18
156.37,-94.46
156.57,-94.18
156.77,-94.18
156.98,-94.46
157.18,-94.18
157.38,-94.18
157.58,-94.18
157.78,-94.18
157.98,-93.9
158.18,-93.9
158.38,-94.18
158.58,-93.62
158.78,-94.46
158.99,-93.9
159.19,-93.62
159.39,-93.34
159.59,-93.34
159.79,-93.62
159.99,-93.9
160.19,-93.62
160.39,-93.62
160.59,-93.62
160.79,-93.62
161,-93.34
161.2,-93.62
161.4,-93.34
161.6,-93.34
161.8,-93.34
162,-93.34
162.2,-93.06
162.4,-93.34
162.6,-93.34
162.8,-93.06
163.01,-93.06
163.21,-92.78
163.41,-92.78
163.61,-93.06
163.81,-92.78
164.01,-93.06
164.21,-92.78
164.41,-92.78
164.61,-92.78
164.81,-92.78
165.02,-92.78
165.22,-92.78
165.42,-92.5
165.62,-92.78
165.82,-92.5
166.02,-92.5
166.22,-91.94
166.42,-92.5
166.62,-92.5
166.82,-92.22
167.02,-92.5
167.23,-91.94
167.43,-92.5
167.63,-92.22
167.83,-92.5
168.03,-92.22
168.23,-92.22
168.43,-91.94
168.63,-91.67
168.84,-91.94
169.04,-91.67
169.24,-91.94
169.44,-91.94
169.64,-91.94
169.84,-91.67
170.04,-91.67
170.24,-91.94
170.44,-91.67
170.64,-91.94
170.85,-91.67
171.05,-91.67
171.25,-91.94
171.45,-91.67
171.65,-91.67
171.85,-91.39
172.05,-91.39
172.25,-91.39
172.45,-91.39
172.65,-91.39
172.86,-91.39
173.06,-91.39
173.26,-91.39
173.46,-91.39
173.66,-91.11
173.86,-91.39
174.06,-91.11
174.26,-91.39
174.46,-91.11
174.66,-90.83
174.87,-91.39
175.07,-91.39
175.27,-91.11
175.47,-90.83
175.67,-91.11
175.87,-90.55
176.07,-90.83
176.27,-90.83
176.47,-90.83
176.67,-90.55
176.88,-90.83
177.08,-90.83
177.28,-90.27
177.48,-90.83
177.68,-90.27
177.88,-90.27
178.08,-90.27
178.28,-90.55
178.48,-90.27
178.68,-90.55
178.88,-90.27
179.09,-90.27
179.29,-90.55
179.49,-90.55
179.69,-90.27
179.89,-90.27
180.09,-89.99
180.29,-90.27
180.49,-90.27
180.69,-90.27
180.9,-89.99
181.1,-90.27
181.3,-89.99
181.5,-89.99
181.7,-89.99
181.9,-89.43
182.1,-90.27
182.3,-89.71
182.5,-89.71
182.7,-89.71
182.91,-89.43
183.11,-89.71
183.31,-89.71
183.51,-89.43
183.71,-89.43
183.91,-89.71
184.11,-89.71
184.31,-89.43
184.51,-89.71
184.71,-89.71
184.91,-89.71
185.12,-89.16
185.32,-89.43
185.52,-89.16
185.72,-89.16
185.92,-89.16
186.12,-89.43
186.32,-89.16
186.52,-89.16
186.72,-89.43
186.93,-88.88
187.13,-88.88
187.33,-88.88
187.53,-88.88
187.73,-88.88
187.93,-89.43
188.13,-89.16
188.33,-88.6
188.53,-88.6
188.73,-88.88
188.94,-88.6
189.14,-88.88
189.34,-88.32
189.54,-88.6
189.74,-88.6
189.94,-88.32
190.14,-88.32
190.34,-88.6
190.54,-88.6
190.74,-88.88
190.95,-88.6
191.15,-88.32
191.35,-88.04
191.55,-88.32
191.75,-88.04
191.95,-88.32
192.15,-88.04
192.35,-88.6
192.55,-87.76
192.75,-88.04
192.96,-88.32
193.16,-88.32
193.36,-88.04
193.56,-87.76
193.76,-87.76
193.96,-88.04
194.16,-88.04
194.36,-87.76
194.56,-87.48
194.76,-88.04
194.97,-88.04
195.17,-87.48
195.37,-87.48
195.57,-87.76
195.77,-87.48
195.97,-87.76
196.17,-87.48
196.37,-87.48
196.57,-87.76
196.77,-88.04
196.98,-87.48
197.18,-87.48
197.38,-87.48
197.58,-87.2
197.78,-87.48
197.98,-87.2
198.18,-87.2
198.38,-87.2
198.58,-87.2
198.79,-87.48
198.99,-86.92
199.19,-87.76
199.39,-87.2
199.59,-87.48
199.79,-87.2
199.99,-87.48
200.19,-86.92
200.39,-86.92
200.59,-87.48
200.8,-87.2
201,-86.92
201.2,-86.64
201.4,-87.2
201.6,-86.92
201.8,-86.92
202,-86.64
202.2,-86.92
202.4,-86.37
202.6,-86.37
202.8,-86.64
203.01,-86.37
203.21,-86.64
203.41,-86.37
