Time (s),Voltage (V)
0,-21.12
0.1,-21.12
0.2,-21.12
0.3,-21.12
0.4,-20.85
0.5,-20.57
0.61,-20.57
0.71,-20.85
0.81,-20.57
0.91,-20.57
1.01,-20.85
1.11,-20.85
1.21,-21.4
1.31,-21.12
1.41,-21.4
1.51,-21.12
1.61,-20.57
1.72,-3.03
1.82,-224.34
1.92,-268.05
2.02,-265.27
2.12,-263.04
2.22,-261.65
2.32,-260.26
2.42,-258.86
2.52,-257.75
2.62,-256.91
2.72,-256.08
2.83,-255.24
2.93,-254.41
3.03,-253.3
3.13,-253.02
3.23,-252.18
3.33,-251.63
3.43,-251.35
3.53,-250.23
3.63,-249.68
3.73,-249.12
3.84,-248.84
3.94,-248.56
4.04,-247.45
4.14,-246.61
4.24,-246.34
4.34,-246.06
4.44,-245.78
4.54,-245.22
4.64,-244.94
4.74,-244.67
4.84,-244.67
4.95,-243.83
5.05,-243.55
5.15,-243.27
5.25,-242.72
5.35,-242.44
5.45,-241.88
5.55,-241.33
5.65,-241.05
5.75,-240.77
5.86,-240.77
5.96,-240.21
6.06,-239.65
6.16,-239.38
6.26,-239.38
6.36,-239.1
6.46,-238.54
6.56,-238.26
6.66,-238.54
6.76,-237.71
6.86,-237.98
6.97,-236.87
7.07,-237.43
7.17,-237.15
7.27,-236.31
7.37,-235.76
7.47,-235.48
7.57,-235.48
7.67,-235.48
7.77,-234.92
7.87,-234.92
7.97,-234.64
8.08,-234.37
8.18,-234.09
8.28,-233.81
8.38,-233.81
8.48,-233.53
8.58,-233.53
8.68,-232.97
8.78,-232.7
8.88,-232.14
8.98,-232.14
9.09,-231.86
9.19,-231.58
9.29,-231.58
9.39,-230.75
9.49,-231.03
9.59,-231.03
9.69,-231.03
9.79,-230.47
9.89,-230.19
9.99,-230.19
10.1,-229.91
10.2,-229.63
10.3,-229.91
10.4,-229.63
10.5,-229.35
10.6,-228.8
10.7,-228.8
10.8,-229.08
10.9,-228.52
11,-227.96
11.1,-227.96
11.21,-227.68
11.31,-227.13
11.41,-226.85
11.51,-227.13
11.61,-226.85
11.71,-226.85
11.81,-226.57
11.91,-226.29
12.01,-226.85
12.11,-226.29
12.22,-226.01
12.32,-225.74
12.42,-226.01
12.52,-225.46
12.62,-225.18
12.72,-224.62
12.82,-224.9
12.92,-224.62
13.02,-224.62
13.13,-224.34
13.23,-224.62
13.33,-224.07
13.43,-224.07
13.53,-223.79
13.63,-223.79
13.73,-223.51
13.83,-222.95
13.93,-223.23
14.03,-222.95
14.14,-222.95
14.24,-222.4
14.34,-222.4
14.44,-222.12
14.54,-222.12
14.64,-221.84
14.74,-221.84
14.84,-221.84
14.94,-221.56
15.05,-221.28
15.15,-221.28
15.25,-221
15.35,-221.56
15.45,-221
15.55,-220.72
15.65,-220.72
15.75,-220.45
15.85,-220.45
15.95,-219.89
16.05,-219.89
16.16,-219.61
16.26,-219.33
16.36,-219.33
16.46,-218.78
16.56,-219.05
16.66,-219.33
16.76,-218.78
16.86,-218.78
16.96,-219.05
17.06,-218.5
17.17,-218.5
17.27,-218.5
17.37,-218.5
17.47,-217.94
17.57,-217.94
17.67,-217.38
17.77,-217.11
17.87,-217.11
17.97,-217.38
18.07,-217.11
18.18,-216.83
18.28,-216.55
18.38,-216.55
