Time (s),Voltage (V)
0,-13.33
0.1,-13.61
0.2,-13.61
0.3,-13.33
0.4,-13.33
0.5,-13.05
0.61,-13.05
0.71,-13.05
0.81,-13.05
0.91,-13.33
1.01,-13.05
1.11,-13.33
1.21,-13.33
1.31,-13.05
1.41,-13.05
1.51,-12.77
1.61,-12.49
1.72,-13.05
1.82,-12.49
1.92,-12.49
2.02,-13.05
2.12,-13.05
2.22,-13.05
2.32,-12.49
2.42,-12.49
2.52,-12.77
2.62,-12.77
2.72,-12.49
2.83,-12.22
2.93,-12.49
3.03,-12.77
3.13,-12.49
3.23,-12.22
3.33,-12.49
3.43,-12.77
3.53,-12.22
3.63,-12.49
3.73,-12.22
3.83,-12.22
3.94,-12.49
4.04,-12.22
4.14,-12.49
4.24,-12.49
4.34,-12.22
4.44,-12.49
4.54,-12.77
4.64,-12.49
4.74,-12.22
4.84,-12.22
4.94,-12.22
5.05,-11.66
5.15,-13.05
5.25,-11.94
5.35,-12.77
5.45,-11.94
5.55,-11.94
5.65,-12.22
5.75,-12.22
5.85,-12.22
5.95,-11.94
6.05,-11.94
6.16,-12.22
6.26,-11.94
6.36,-11.94
6.46,-11.94
6.56,-12.22
6.66,-12.22
6.76,-11.94
6.86,-12.22
6.96,-11.94
7.06,-11.94
7.16,-12.22
7.27,-12.22
7.37,-11.94
7.47,-11.94
7.57,-12.22
7.67,-12.22
7.77,-12.22
7.87,-12.49
7.97,-12.22
8.07,-11.94
8.17,-11.66
8.27,-12.22
8.38,-11.94
8.48,-12.49
8.58,-11.94
8.68,-12.22
8.78,-11.94
8.88,-11.94
8.98,-11.94
9.08,-11.94
9.18,-11.94
9.28,-11.94
9.38,-11.94
9.49,-12.22
9.59,-11.94
9.69,-12.49
9.79,-11.66
9.89,-11.66
9.99,-11.66
10.09,-11.38
10.19,-11.94
10.29,-11.94
10.39,-11.66
10.49,-11.94
10.6,-11.94
10.7,-11.66
10.8,-12.22
10.9,-11.94
11,-11.94
11.1,-11.94
11.2,-11.94
11.3,-11.94
11.4,-11.94
11.5,-11.66
11.61,-11.94
11.71,-11.94
11.81,-11.66
11.91,-11.94
12.01,-11.66
12.11,-11.66
12.21,-11.66
12.31,-11.94
12.41,-11.94
12.51,-11.94
12.61,-11.94
12.72,-11.66
12.82,-12.22
12.92,-11.38
13.02,-11.66
13.12,-11.1
13.22,-11.66
13.32,-11.94
13.42,-11.66
13.52,-11.38
13.63,-11.66
13.73,-12.22
13.83,-11.1
13.93,-11.66
14.03,-11.66
14.13,-11.66
14.23,-11.66
14.33,-11.94
14.43,-11.94
14.53,-11.38
14.64,-11.38
14.73,-11.66
14.84,-11.66
14.94,-11.38
15.04,-11.38
15.14,-11.66
15.24,-11.66
15.34,-11.38
15.44,-11.66
15.54,-11.38
15.64,-11.66
15.75,-11.66
15.85,-11.66
15.95,-11.66
16.05,-11.66
16.15,-11.38
16.25,-11.66
16.35,-11.38
16.45,-11.38
16.55,-11.38
16.65,-11.66
16.75,-11.66
16.86,-12.22
16.96,-11.38
17.06,-11.94
17.16,-11.38
17.26,-11.94
17.36,-12.22
17.46,-11.66
17.56,-11.66
17.66,-11.66
17.76,-11.66
17.86,-11.94
17.97,-11.94
18.07,-11.38
18.17,-11.38
18.27,-11.94
18.37,-11.94
18.47,-11.66
18.57,-11.38
18.67,-11.38
18.77,-11.66
18.87,-11.66
18.98,-11.66
19.08,-11.38
19.18,-11.38
19.28,-11.66
19.38,-11.66
19.48,-11.66
19.58,-11.38
19.68,-11.94
19.78,-11.38
19.88,-11.66
19.99,-11.94
20.09,-11.94
20.19,-11.66
20.29,-11.66
20.39,-11.94
20.49,-11.94
20.59,-11.66
20.69,-11.94
20.79,-11.66
20.89,-11.94
21,-11.66
21.1,-11.66
21.2,-11.94
21.3,-11.66
21.4,-11.38
21.5,-11.1
21.6,-11.38
21.7,-11.38
21.8,-11.66
21.9,-11.38
22,-11.38
22.11,-11.66
22.21,-11.66
22.31,-11.38
22.41,-11.94
22.51,-11.1
22.61,-11.38
22.71,-11.66
22.81,-11.66
22.91,-11.94
23.01,-11.38
23.11,-11.1
23.22,-11.66
23.32,-11.1
23.42,-11.38
23.52,-11.1
23.62,-11.38
23.72,-11.38
23.82,-11.66
23.92,-11.66
24.02,-11.38
24.12,-11.66
24.23,-11.66
24.33,-11.38
24.43,-11.38
24.53,-11.38
24.63,-11.38
24.73,-11.66
24.83,-11.38
24.93,-11.38
25.03,-10.82
25.13,-11.38
25.23,-11.38
25.34,-11.66
25.44,-11.38
25.54,-11.66
25.64,-11.66
25.74,-11.1
25.84,-11.94
25.94,-11.38
26.04,-11.1
26.14,-11.66
26.25,-11.38
26.35,-11.38
26.45,-11.38
26.55,-11.38
26.65,-11.1
26.75,-11.66
26.85,-11.1
26.95,-11.38
27.05,-11.1
27.15,-11.38
27.25,-11.66
27.36,-11.38
27.46,-11.38
27.56,-11.1
27.66,-11.38
27.76,-11.38
27.86,-10.82
27.96,-3.03
28.06,-3.03
28.16,-169.22
28.26,-171.17
28.36,-169.22
28.47,-167.83
28.57,-166.72
28.67,-165.88
28.77,-165.05
28.87,-164.77
28.97,-163.66
29.07,-163.38
29.17,-162.82
29.27,-162.54
29.37,-162.26
29.48,-161.15
29.58,-161.15
29.68,-160.59
29.78,-160.04
29.88,-159.76
29.98,-159.76
30.08,-159.2
30.18,-158.92
30.28,-158.65
30.39,-158.37
30.49,-158.37
30.59,-157.53
30.69,-157.53
