Time (s),Voltage (V)
0.0,-25.86
0.1,-25.86
0.2,-25.58
0.3,-25.86
0.4,-25.3
0.5,-25.3
0.61,-25.3
0.71,-25.86
0.81,-25.86
0.91,-25.86
1.11,-25.86
1.21,-25.58
1.31,-25.58
1.41,-25.58
1.51,-25.58
1.61,-25.58
1.72,-25.58
1.82,-25.86
1.92,-25.86
2.02,-25.86
2.12,-25.58
2.22,-25.58
2.42,-25.58
2.52,-25.58
2.62,-25.86
2.72,-25.58
2.83,-25.58
2.93,-25.58
3.03,-25.58
3.13,-25.3
3.23,-25.58
3.33,-25.3
3.43,-25.3
3.53,-25.58
3.73,-25.86
3.83,-25.86
3.94,-25.02
4.04,-25.86
4.14,-25.58
4.24,-25.58
4.34,-25.58
4.44,-25.58
4.54,-25.86
4.64,-25.3
4.74,-25.58
4.84,-25.58
4.94,-25.86
5.15,-25.3
5.25,-25.58
5.35,-25.58
5.45,-25.86
5.55,-25.58
5.65,-25.58
5.75,-25.3
5.85,-25.3
5.95,-25.58
6.05,-25.86
6.16,-25.58
6.26,-25.58
6.46,-25.58
6.56,-25.3
6.66,-25.58
6.76,-25.58
6.86,-25.58
6.96,-25.86
7.06,-25.58
7.16,-25.58
7.27,-25.58
7.37,-25.58
7.47,-25.58
7.57,-25.58
7.77,-25.86
7.87,-25.58
7.97,-25.58
8.07,-25.58
8.17,-25.3
8.27,-25.58
8.38,-25.86
8.48,-25.58
8.58,-25.3
8.68,-25.3
8.78,-25.58
8.88,-25.58
9.08,-25.58
9.18,-25.58
9.28,-25.58
9.38,-25.3
9.49,-25.58
9.59,-25.3
9.69,-25.58
9.79,-25.86
9.89,-25.86
9.99,-25.02
10.09,-25.3
10.19,-25.86
10.39,-25.58
10.49,-25.58
10.6,-25.58
10.7,-25.3
10.8,-26.14
10.9,-25.3
11.0,-25.3
11.1,-25.58
11.2,-25.58
11.3,-25.86
11.4,-25.3
11.5,-25.86
11.71,-25.3
11.81,-25.58
11.91,-25.86
12.01,-25.58
12.11,-25.58
12.21,-25.3
12.31,-25.3
12.41,-25.86
12.51,-25.58
12.61,-25.58
12.72,-25.58
12.82,-25.86
12.92,-25.58
13.12,-25.86
13.22,-25.58
13.32,-25.86
13.42,-25.58
13.52,-25.86
13.63,-25.58
13.73,-25.58
13.83,-25.58
13.93,-25.3
14.03,-25.58
14.13,-25.86
14.23,-25.58
14.43,-25.58
14.53,-25.58
14.64,-25.58
14.73,-25.58
14.84,-25.58
14.94,-25.58
15.04,-25.58
15.14,-25.86
15.24,-25.58
15.34,-25.86
15.44,-25.58
15.54,-25.3
15.75,-25.02
15.85,-25.58
15.95,-25.58
16.05,-25.58
16.15,-25.86
16.25,-25.86
16.35,-25.58
16.45,-25.86
16.55,-25.86
16.65,-25.58
16.75,-25.58
16.86,-25.58
17.06,-25.58
