Time (s),Voltage (V)
38.66,-62.33
38.77,-62.6
38.87,-62.6
38.97,-62.33
39.07,-62.33
39.17,-62.6
39.27,-62.88
39.37,-62.6
39.47,-62.33
39.67,-62.33
39.78,-62.33
39.88,-62.6
39.98,-62.33
40.08,-62.6
40.18,-62.33
40.28,-62.05
40.38,-62.33
40.48,-62.33
40.58,-62.33
40.68,-62.05
40.78,-62.05
40.99,-62.05
41.09,-62.33
41.19,-62.33
41.29,-62.05
41.39,-62.33
41.49,-62.05
41.59,-62.05
41.69,-62.05
41.79,-62.05
41.89,-62.05
42.0,-61.77
42.1,-62.05
42.3,-62.05
42.4,-62.33
42.5,-61.49
42.6,-62.05
42.7,-62.05
42.8,-61.77
42.9,-62.05
43.01,-61.77
43.11,-62.33
43.21,-62.05
43.31,-62.05
43.41,-61.77
43.61,-62.05
43.71,-61.77
43.81,-62.05
43.91,-62.05
44.02,-61.77
44.12,-61.77
44.22,-62.05
44.32,-62.05
44.42,-62.05
44.52,-61.77
44.62,-62.05
44.72,-61.77
44.82,-61.77
45.03,-62.05
45.13,-62.05
45.23,-61.49
45.33,-61.77
45.43,-61.77
45.53,-61.77
45.63,-61.77
45.73,-61.77
45.83,-61.77
45.93,-62.05
46.03,-61.77
46.13,-61.77
46.34,-61.77
46.44,-61.49
46.54,-62.05
46.64,-62.05
46.74,-61.77
46.84,-61.21
46.94,-61.49
47.04,-61.77
47.14,-61.77
47.25,-61.49
47.35,-61.77
47.45,-61.49
47.65,-61.77
47.75,-61.77
47.85,-61.77
47.95,-61.77
48.05,-61.77
48.15,-61.49
48.26,-61.77
48.36,-61.77
48.46,-61.49
48.56,-61.49
48.66,-61.49
48.76,-61.49
48.96,-61.49
49.06,-61.21
49.16,-61.49
49.27,-61.77
49.37,-61.21
49.47,-61.49
49.57,-61.21
49.67,-61.49
49.77,-61.49
49.87,-61.77
49.97,-61.77
50.07,-61.21
50.17,-61.77
50.38,-61.49
50.48,-60.93
50.58,-60.93
50.68,-61.77
50.78,-61.49
50.88,-61.21
50.98,-61.21
51.08,-61.77
51.18,-61.49
51.28,-61.49
51.38,-61.21
51.49,-61.49
51.69,-61.49
51.79,-61.21
51.89,-61.21
51.99,-60.93
52.09,-61.21
52.19,-61.21
52.29,-61.21
52.4,-61.49
52.5,-61.21
52.6,-61.21
52.7,-61.49
52.8,-61.21
53.0,-61.21
53.1,-61.21
53.2,-61.49
53.3,-61.21
53.4,-61.21
53.51,-60.93
53.61,-61.21
53.71,-61.49
53.81,-61.77
53.91,-60.93
54.01,-61.21
54.11,-60.93
54.31,-61.21
54.41,-61.21
54.52,-61.21
54.62,-61.49
54.72,-61.49
54.82,-61.21
54.92,-60.93
55.02,-61.21
55.12,-61.21
55.22,-61.21
55.32,-61.21
55.42,-61.21
55.53,-60.93
55.73,-60.66
55.83,-60.93
55.93,-61.21
56.03,-61.21
56.13,-60.93
56.23,-60.93
56.33,-60.93
56.43,-60.93
56.54,-61.21
56.64,-61.21
56.74,-61.21
56.84,-60.38
57.04,-61.49
57.14,-60.66
57.24,-60.93
57.34,-60.93
57.44,-61.21
57.54,-60.66
57.65,-60.38
57.75,-60.93
57.85,-60.66
57.95,-60.93
58.05,-60.93
58.15,-60.66
58.35,-61.21
58.45,-60.93
58.55,-60.93
58.65,-60.93
58.76,-60.93
58.86,-60.66
58.96,-60.66
59.06,-60.66
59.16,-60.93
59.26,-60.38
59.36,-60.93
59.46,-60.66
59.67,-60.66
59.77,-60.66
59.87,-60.93
59.97,-60.66
60.07,-60.93
60.17,-60.93
60.27,-60.93
60.37,-60.93
60.47,-60.93
60.57,-60.38
60.68,-60.66
60.78,-60.66
60.98,-60.38
61.08,-60.66
61.18,-61.21
61.28,-60.66
61.38,-60.66
61.48,-61.21
