Time (s),Voltage (V)
0,-46.46
0.1,-46.74
0.2,-46.46
0.3,-46.46
0.4,-46.74
0.5,-46.74
0.61,-46.74
0.71,-46.46
0.81,-47.01
0.91,-46.46
1.01,-46.74
1.11,-46.46
1.21,-46.46
1.31,-47.01
1.41,-46.46
1.51,-46.46
1.61,-46.74
1.72,-46.74
1.82,-45.9
1.92,-46.46
2.02,-46.46
2.12,-46.46
2.22,-46.46
2.32,-46.46
2.42,-47.01
2.52,-46.46
2.62,-46.46
2.72,-46.46
2.83,-46.74
2.93,-46.74
3.03,-46.74
3.13,-46.74
3.23,-46.74
3.33,-46.46
3.43,-46.46
3.53,-46.46
3.63,-46.46
3.73,-46.18
3.83,-46.18
3.94,-46.46
4.04,-46.46
4.14,-46.18
4.24,-46.18
4.34,-46.74
4.44,-46.74
4.54,-46.74
4.64,-46.18
4.74,-46.46
4.84,-46.74
4.94,-46.46
5.05,-46.74
5.15,-46.46
5.25,-46.46
5.35,-46.46
5.45,-46.74
5.55,-46.46
5.65,-46.18
5.75,-46.74
5.85,-46.46
5.95,-46.74
6.05,-46.46
6.16,-46.18
6.26,-46.46
6.36,-46.46
6.46,-46.46
6.56,-46.46
6.66,-46.46
6.76,-46.74
6.86,-46.46
6.96,-46.18
7.06,-46.46
7.16,-46.18
7.27,-46.74
7.37,-46.46
7.47,-46.74
7.57,-46.46
7.67,-46.18
7.77,-46.74
7.87,-46.46
7.97,-46.46
8.07,-46.46
8.17,-46.74
8.27,-46.18
8.38,-46.46
8.48,-46.46
8.58,-46.46
8.68,-46.46
8.78,-46.74
8.88,-46.18
8.98,-46.46
9.08,-46.46
9.18,-46.46
9.28,-46.46
9.38,-46.46
9.49,-46.46
9.59,-46.18
9.69,-46.74
9.79,-46.18
9.89,-46.74
9.99,-46.46
10.09,-46.74
10.19,-46.46
10.29,-46.46
10.39,-46.46
10.5,-46.74
10.6,-46.74
10.7,-46.18
10.8,-46.46
10.9,-46.46
11,-46.18
11.1,-46.18
11.2,-46.18
11.3,-46.74
11.4,-46.46
11.51,-46.18
11.61,-46.74
11.71,-46.46
11.81,-46.46
11.91,-46.46
12.01,-46.18
12.11,-46.46
12.21,-46.46
12.31,-46.74
12.41,-46.46
12.52,-46.18
12.61,-46.46
12.72,-46.18
12.82,-46.46
12.92,-46.18
13.02,-46.46
13.12,-46.74
13.22,-46.74
13.32,-46.46
13.42,-46.46
13.52,-46.74
13.63,-46.74
13.73,-46.74
13.83,-46.18
13.93,-46.46
14.03,-46.74
14.13,-46.46
14.23,-46.46
14.33,-46.74
14.43,-46.18
14.53,-45.62
14.64,-46.74
14.74,-46.46
