Time (s),Voltage (V)
0.0,-42.56
0.1,-42.28
0.2,-42.84
0.3,-42.56
0.4,-42.84
0.5,-42.56
0.61,-42.56
0.71,-42.28
0.81,-42.28
0.91,-42.28
1.01,-42.56
1.11,-42.56
1.21,-42.56
1.31,-42.28
1.41,-42.56
1.51,-42.56
1.61,-42.0
1.72,-42.56
1.82,-42.84
1.92,-42.28
2.02,-42.28
2.12,-42.56
2.22,-42.56
2.32,-42.56
2.42,-42.56
2.52,-42.56
2.62,-42.0
2.72,-42.0
2.83,-42.28
2.93,-42.84
3.03,-42.28
3.13,-42.0
3.23,-42.56
3.33,-42.84
3.43,-42.56
3.53,-42.56
3.63,-42.56
3.73,-42.56
3.83,-42.28
3.94,-42.28
4.04,-42.56
4.14,-42.84
4.24,-42.84
4.34,-42.56
4.44,-42.84
4.54,-42.56
4.64,-42.84
4.74,-42.28
4.84,-42.84
4.94,-42.56
5.05,-42.56
5.15,-42.56
5.25,-42.28
5.35,-42.56
5.45,-42.56
5.55,-42.56
5.65,-42.28
5.75,-42.56
5.85,-42.56
5.95,-42.56
6.05,-42.28
6.16,-42.56
6.26,-42.56
6.36,-42.84
6.46,-42.56
6.56,-42.28
6.66,-42.28
6.76,-42.56
6.86,-42.84
6.96,-42.56
7.06,-43.12
7.16,-42.28
7.27,-42.28
7.37,-42.28
7.47,-42.56
7.57,-42.0
7.67,-42.56
7.77,-42.56
7.87,-42.56
7.97,-42.28
8.07,-42.28
8.17,-42.84
8.27,-42.56
8.38,-42.56
8.48,-42.28
8.58,-42.84
8.68,-42.84
8.78,-42.28
8.88,-42.84
8.98,-42.56
9.08,-42.28
9.18,-42.56
9.28,-42.28
9.38,-42.28
9.49,-42.56
9.59,-42.28
9.69,-42.0
9.79,-42.28
9.89,-42.84
9.99,-42.28
10.09,-42.56
10.19,-42.84
10.29,-42.28
10.39,-42.28
10.49,-42.56
10.6,-42.56
10.7,-42.84
10.8,-42.56
10.9,-42.56
10.9,-42.56
11.1,-42.0
11.1,-42.0
11.2,-42.56
11.3,-42.28
11.4,-42.28
11.5,-42.56
11.61,-42.28
11.71,-42.28
11.81,-42.0
11.91,-42.28
12.01,-42.56
12.11,-42.56
12.21,-42.84
12.31,-42.28
12.41,-42.84
12.51,-42.56
12.61,-42.56
12.72,-42.28
12.82,-42.56
12.92,-42.56
13.02,-42.28
13.12,-42.56
13.22,-42.0
13.32,-42.56
13.42,-42.56
13.52,-42.56
13.63,-42.28
13.73,-42.56
13.83,-42.28
13.93,-42.28
14.03,-42.56
14.13,-42.56
14.23,-42.56
14.33,-42.56
14.43,-42.56
14.53,-42.56
14.64,-42.56
14.74,-42.84
14.84,-42.28
14.94,-42.28
15.04,-42.28
15.14,-42.56
15.24,-42.56
15.34,-42.28
15.54,-42.28
15.54,-42.28
15.64,-42.56
15.75,-42.0
15.85,-42.56
15.95,-42.28
16.05,-42.28
16.15,-42.56
16.25,-42.28
16.35,-42.56
16.45,-42.28
16.55,-42.56
16.65,-42.84
16.75,-42.56
16.86,-42.28
16.96,-42.28
17.06,-42.56
17.16,-42.28
17.26,-42.28
17.36,-42.56
17.46,-42.56
17.56,-42.56
17.66,-42.28
17.76,-42.84
17.86,-42.28
17.97,-42.56
18.07,-42.84
18.17,-42.84
18.27,-42.84
18.37,-42.28
18.47,-42.56
18.57,-42.84
18.67,-42.56
18.77,-42.56
18.87,-42.28
18.98,-42.56
19.08,-42.56
19.18,-42.28
19.28,-42.28
19.38,-42.28
19.48,-42.28
19.58,-42.28
19.68,-42.56
19.78,-42.28
19.88,-42.56
19.99,-42.56
20.09,-42.84
20.19,-42.56
20.29,-42.28
20.39,-42.56
20.49,-42.28
20.59,-42.56
20.69,-42.28
20.79,-42.56
20.89,-42.84
21.0,-42.56
21.1,-42.56
21.2,-42.28
21.3,-42.56
21.4,-42.56
21.5,-42.84
21.6,-42.84
21.7,-42.84
21.8,-42.28
21.9,-42.56
22.0,-42.56
22.11,-42.28
22.21,-42.0
22.31,-42.56
22.41,-43.12
22.51,-42.56
22.61,-42.56
22.71,-42.56
22.81,-42.0
22.91,-42.28
23.01,-42.56
23.11,-42.56
23.22,-42.28
23.32,-42.28
23.42,-42.84
23.52,-42.56
23.62,-42.56
23.72,-43.12
23.82,-42.56
23.92,-42.56
24.02,-42.56
24.12,-42.0
24.23,-42.28
24.33,-42.56
24.43,-42.84
24.53,-42.56
24.63,-42.28
24.73,-42.84
24.83,-42.56
24.93,-42.56
25.03,-42.28
25.13,-42.56
25.24,-42.56
25.34,-42.56
25.44,-42.56
25.54,-42.28
25.64,-42.56
25.74,-42.28
25.84,-42.28
25.94,-42.56
26.04,-42.56
26.14,-42.28
26.25,-42.84
26.35,-42.56
26.45,-42.0
26.55,-42.56
26.65,-42.28
26.75,-42.56
26.85,-42.84
26.95,-42.28
27.05,-42.28
27.15,-42.28
27.25,-43.12
27.36,-42.56
27.46,-42.28
27.56,-42.56
27.66,-42.28
27.76,-42.0
27.86,-42.28
27.96,-42.28
