Time (s),Voltage (V)
0.0,-23.91
0.1,-23.91
0.2,-24.19
0.3,-23.91
0.4,-23.91
0.5,-23.91
0.61,-23.91
0.71,-23.91
0.81,-24.19
0.91,-23.91
1.11,-23.91
1.21,-23.91
1.31,-23.91
1.41,-24.19
1.51,-23.63
1.61,-23.63
1.72,-23.63
1.82,-23.91
1.92,-24.19
2.02,-23.91
2.12,-23.63
2.22,-23.91
2.42,-23.91
2.52,-23.91
2.62,-23.91
2.72,-23.91
2.83,-23.91
2.93,-24.19
3.03,-23.91
3.13,-24.19
3.23,-23.91
3.33,-23.91
3.53,-23.91
3.63,-23.91
3.73,-23.91
3.83,-23.91
3.94,-23.91
4.04,-24.47
4.14,-24.47
4.24,-23.91
4.34,-23.91
4.44,-24.19
4.64,-23.91
4.74,-23.91
4.84,-24.19
4.94,-24.19
5.05,-23.91
5.15,-23.91
5.25,-23.91
5.35,-23.91
5.45,-24.19
5.55,-23.91
5.65,-24.19
5.75,-23.91
5.95,-23.91
6.05,-24.19
6.16,-23.91
6.26,-23.91
6.36,-23.91
6.46,-23.91
6.56,-24.19
6.66,-23.63
6.76,-23.91
6.86,-23.35
6.96,-23.91
7.06,-23.91
7.16,-23.91
7.37,-24.19
7.47,-23.91
7.57,-24.19
7.67,-23.91
7.77,-23.91
7.87,-24.19
7.97,-23.91
8.07,-24.19
8.17,-23.63
8.27,-23.63
8.38,-24.19
8.48,-23.91
8.68,-23.91
8.78,-23.91
8.88,-23.91
8.98,-24.19
9.08,-23.91
9.18,-24.19
9.28,-23.91
9.38,-24.19
9.49,-24.19
9.59,-24.19
9.69,-24.19
9.79,-24.19
9.99,-23.91
10.09,-24.19
10.19,-23.91
10.29,-23.91
10.39,-23.91
10.5,-24.19
10.6,-23.91
10.7,-23.91
10.8,-23.91
10.9,-23.63
11.1,-23.91
11.2,-23.91
11.3,-23.91
11.4,-23.63
11.51,-23.91
11.61,-24.19
11.71,-24.19
11.81,-23.91
11.91,-23.91
12.01,-24.47
12.11,-24.19
12.21,-23.91
12.31,-23.91
12.52,-23.91
12.61,-23.91
12.72,-24.19
12.82,-23.91
12.92,-23.91
13.02,-24.19
13.12,-24.19
13.22,-23.63
13.32,-24.19
13.42,-24.19
13.63,-23.91
13.73,-23.91
13.83,-24.19
13.93,-24.47
14.03,-23.91
14.13,-23.91
14.23,-23.91
14.33,-24.19
14.43,-23.63
14.53,-23.91
14.74,-23.91
14.84,-23.91
14.94,-23.91
15.04,-24.47
15.14,-24.19
15.24,-23.91
15.34,-23.91
15.44,-24.19
15.54,-23.63
15.64,-23.91
15.75,-24.19
15.85,-23.91
16.05,-23.63
16.15,-24.19
16.25,-23.63
16.35,-24.19
16.45,-23.91
16.55,-23.63
16.65,-23.91
16.75,-23.91
16.86,-23.91
17.06,-23.91
17.16,-23.91
17.26,-24.47
17.36,-24.19
17.46,-23.91
17.56,-23.91
17.66,-23.91
17.76,-24.19
17.86,-24.19
17.97,-24.19
18.07,-24.19
18.17,-23.63
18.37,-23.91
18.47,-23.91
18.57,-23.91
18.67,-24.19
18.77,-24.19
18.87,-23.63
18.98,-23.91
19.08,-24.47
19.18,-24.19
19.28,-23.91
19.38,-23.91
19.48,-23.91
19.68,-23.91
19.78,-23.91
19.88,-23.91
19.99,-23.91
20.09,-24.19
20.19,-24.19
20.29,-24.19
20.39,-23.63
20.49,-24.19
20.59,-23.91
20.69,-23.91
20.79,-23.91
21.0,-23.63
21.1,-24.19
21.2,-23.91
21.3,-23.91
21.4,-24.19
21.5,-23.91
21.6,-24.19
21.7,-23.63
21.8,-23.91
21.9,-23.91
22.0,-24.19
22.11,-24.19
22.31,-23.91
22.41,-24.47
22.51,-24.19
22.61,-23.91
22.71,-23.91
22.81,-23.91
22.91,-24.19
23.01,-23.63
23.12,-23.63
23.22,-23.91
23.32,-23.91
23.42,-23.91
23.62,-23.91
23.72,-23.91
23.82,-23.91
23.92,-23.63
24.02,-23.91
24.13,-23.91
24.23,-23.91
24.33,-23.91
24.43,-23.91
24.53,-23.63
24.63,-23.91
24.73,-23.91
24.83,-23.91
25.03,-23.91
25.14,-23.63
25.24,-23.63
25.34,-24.19
25.44,-24.19
25.54,-23.63
25.64,-23.91
25.74,-23.91
25.84,-24.47
25.94,-23.63
26.04,-24.19
26.14,-23.91
26.35,-24.19
26.45,-23.91
26.55,-24.47
26.65,-23.91
26.75,-23.91
26.85,-23.63
26.95,-23.63
27.05,-23.91
27.15,-23.91
27.25,-24.19
27.36,-23.63
27.46,-23.91
27.66,-23.91
27.76,-24.47
27.86,-23.63
27.96,-24.47
28.06,-23.91
28.16,-24.19
28.26,-24.47
28.37,-23.91
28.47,-23.91
28.57,-23.91
28.67,-24.19
28.77,-24.19
28.97,-23.91
29.07,-23.91
29.17,-23.63
29.27,-23.63
29.38,-23.63
29.48,-24.19
29.58,-23.91
29.68,-23.63
29.78,-23.91
29.88,-23.63
29.98,-24.19
30.08,-23.91
30.18,-23.91
30.39,-24.19
30.49,-24.47
30.59,-23.91
30.69,-23.63
30.79,-23.63
30.89,-23.91
30.99,-23.91
31.09,-23.91
31.19,-23.63
31.29,-23.91
31.39,-24.19
31.5,-23.91
31.7,-23.91
31.8,-23.91
31.9,-24.19
32.0,-23.63
32.1,-23.91
32.2,-23.35
32.3,-23.63
32.4,-23.91
32.51,-24.19
32.61,-23.35
32.71,-23.91
32.81,-24.19
33.01,-23.91
33.11,-23.91
33.21,-23.91
33.31,-24.19
33.42,-23.91
33.52,-23.91
33.62,-23.91
33.72,-24.19
33.82,-23.91
33.92,-23.91
34.02,-24.19
34.12,-24.19
34.32,-23.91
34.42,-23.63
34.53,-23.63
34.63,-23.63
34.73,-23.91
34.83,-23.91
34.93,-23.91
