Time (s),Voltage (V)
0,-20.57
0.1,-20.57
0.2,-20.29
0.3,-20.85
0.4,-20.85
0.5,-20.85
0.61,-20.57
0.71,-20.57
0.81,-20.57
0.91,-20.85
1.01,-20.85
1.11,-21.12
1.21,-20.85
1.31,-21.12
1.41,-20.57
1.51,-20.85
1.61,-20.57
1.72,-20.85
1.82,-20.57
1.92,-20.85
2.02,-20.01
2.12,-20.29
2.22,-20.57
2.32,-20.85
2.42,-20.29
2.52,-20.85
2.62,-20.29
2.72,-20.57
2.83,-20.57
2.93,-20.85
3.03,-20.85
3.13,-20.85
3.23,-20.29
3.33,-20.57
3.43,-20.29
3.53,-20.85
3.63,-20.29
3.73,-20.85
3.83,-20.57
3.94,-20.29
4.04,-20.57
4.14,-20.57
4.24,-20.57
4.34,-20.57
4.44,-20.57
4.54,-20.85
4.64,-20.29
4.74,-20.57
4.84,-19.73
4.94,-20.29
5.05,-20.57
5.15,-20.57
5.25,-20.57
5.35,-20.85
5.45,-20.85
5.55,-20.57
5.65,-20.57
5.75,-20.57
5.85,-20.01
5.95,-20.29
6.05,-20.57
6.16,-20.57
6.26,-20.57
6.36,-20.29
6.46,-20.57
6.56,-20.57
6.66,-20.85
6.76,-20.29
6.86,-20.85
6.96,-20.85
7.06,-3.03
7.16,-217.38
7.27,-234.92
7.37,-232.97
7.47,-231.03
7.57,-229.63
7.67,-228.8
7.77,-227.68
7.87,-226.85
7.97,-226.01
8.07,-225.46
8.17,-224.34
8.27,-223.79
8.38,-222.95
8.48,-222.12
8.58,-222.12
8.68,-221.28
8.78,-220.72
8.88,-220.45
8.98,-219.61
9.08,-219.05
9.18,-218.5
9.28,-218.22
9.39,-217.66
9.49,-217.38
9.59,-216.83
9.69,-216.83
9.79,-215.99
9.89,-215.71
9.99,-215.44
10.09,-215.44
10.19,-214.88
10.3,-214.32
10.4,-214.04
10.5,-213.77
10.6,-213.21
10.7,-213.21
10.8,-212.93
10.9,-212.65
11,-211.82
11.1,-212.1
11.2,-211.54
11.3,-210.98
11.41,-210.98
11.51,-210.7
11.61,-209.87
11.71,-210.42
11.81,-210.42
11.91,-209.59
12.01,-209.59
12.11,-208.75
12.21,-209.31
12.31,-208.2
12.42,-207.92
12.52,-208.2
12.62,-207.92
12.72,-207.64
12.82,-207.08
12.92,-207.08
13.02,-207.08
13.12,-206.53
13.22,-206.81
13.32,-206.53
13.43,-206.25
13.53,-206.25
13.63,-205.97
13.73,-205.69
13.83,-205.14
13.93,-205.14
14.03,-204.86
14.13,-204.58
14.23,-204.3
14.34,-204.02
14.44,-204.02
14.54,-203.74
14.64,-203.47
14.74,-203.47
14.84,-203.19
14.94,-203.74
15.04,-202.91
15.14,-202.91
15.24,-202.63
15.35,-202.63
15.45,-202.35
15.55,-202.35
15.65,-201.79
15.75,-201.79
15.85,-201.52
15.95,-201.24
16.05,-200.96
16.15,-201.24
16.25,-200.4
16.35,-200.4
16.46,-200.4
16.56,-200.12
16.66,-200.12
16.76,-199.85
16.86,-199.85
16.96,-200.12
17.06,-199.57
17.16,-199.01
17.26,-199.29
17.37,-199.29
17.47,-198.73
17.57,-198.73
17.67,-198.73
17.77,-198.45
17.87,-197.9
17.97,-198.18
18.07,-197.9
18.17,-197.62
18.27,-197.06
18.37,-197.34
18.48,-197.62
18.58,-197.06
18.68,-196.78
18.78,-197.34
18.88,-196.78
18.98,-196.78
19.08,-196.51
19.18,-196.51
19.28,-196.23
19.39,-196.23
19.49,-196.51
19.59,-195.67
19.69,-195.67
19.79,-195.11
19.89,-195.11
19.99,-194.84
20.09,-195.11
20.19,-195.11
20.29,-194.84
20.4,-194.56
20.5,-194.56
20.6,-194.28
20.7,-194
20.8,-194
20.9,-194.28
21,-194
21.1,-193.72
21.2,-193.72
21.3,-193.44
21.41,-193.17
21.51,-192.89
21.61,-192.89
21.71,-193.17
21.81,-192.89
21.91,-192.89
22.01,-192.61
22.11,-192.61
22.21,-192.61
22.32,-192.33
