Time (s),Voltage (V)
35.82,-3.31
35.92,-3.59
36.02,-4.14
36.13,-3.87
36.23,-4.14
36.33,-4.42
36.43,-3.59
36.53,-3.87
36.63,-4.14
36.73,-4.14
36.83,-3.59
36.93,-3.87
37.03,-3.87
37.13,-3.87
37.24,-3.87
37.34,-3.87
37.44,-3.87
37.54,-3.87
37.64,-3.59
37.74,-3.87
37.84,-4.14
37.94,-4.14
38.04,-3.59
38.14,-4.14
38.24,-3.87
38.35,-3.87
38.45,-4.42
38.55,-3.59
38.65,-3.87
38.75,-4.14
38.85,-3.59
38.95,-3.87
39.05,-3.87
39.15,-4.14
39.25,-4.14
39.36,-3.87
39.46,-3.87
39.56,-3.59
39.66,-3.87
39.76,-3.87
39.86,-4.14
39.96,-3.87
40.06,-3.59
40.16,-4.14
40.26,-3.59
40.36,-3.87
40.47,-3.87
40.56,-3.87
40.67,-3.59
40.77,-3.59
40.87,-3.31
40.97,-4.14
41.07,-4.14
41.17,-3.59
41.27,-3.59
41.37,-3.87
41.47,-4.14
41.58,-4.14
41.68,-4.14
41.78,-3.87
41.88,-3.59
41.98,-4.14
42.08,-3.87
42.18,-3.87
42.28,-4.14
42.38,-3.87
42.48,-3.59
42.58,-3.59
42.69,-3.87
42.79,-3.87
42.89,-3.87
42.99,-3.87
43.09,-3.87
43.19,-4.14
43.29,-3.87
43.39,-3.87
43.49,-4.14
43.59,-3.87
43.7,-3.59
43.79,-3.59
43.9,-4.14
44,-4.14
44.1,-3.87
44.2,-4.42
44.3,-3.59
44.4,-3.59
44.5,-3.87
44.6,-4.14
44.7,-4.14
44.81,-3.87
44.9,-3.59
45.01,-3.87
45.11,-3.87
45.21,-3.59
45.31,-3.87
45.41,-3.87
45.51,-3.59
45.61,-3.59
45.71,-3.87
45.81,-4.14
45.92,-4.14
46.02,-3.87
46.12,-3.87
46.22,-3.87
46.32,-3.59
46.42,-4.14
46.52,-3.87
46.62,-4.14
46.72,-3.87
46.82,-3.59
46.92,-3.87
47.03,-3.87
47.13,-4.14
47.23,-3.87
47.33,-3.87
47.43,-4.14
47.53,-3.87
47.63,-4.42
47.73,-4.14
47.83,-3.87
47.93,-3.87
48.03,-3.87
48.13,-3.59
48.24,-3.59
48.34,-3.87
48.44,-3.87
48.54,-3.87
48.64,-3.87
48.74,-3.87
48.84,-3.87
48.94,-3.87
49.04,-3.87
49.14,-3.87
49.25,-3.59
49.35,-3.87
49.45,-4.14
49.55,-4.42
49.65,-4.42
49.75,-4.14
49.85,-4.14
49.95,-3.87
50.05,-4.14
50.15,-4.42
50.25,-4.14
50.36,-3.87
50.46,-3.87
50.56,-3.87
50.66,-4.14
50.76,-4.14
50.86,-3.87
50.96,-3.87
51.06,-3.59
51.16,-3.59
51.26,-3.59
51.36,-4.42
51.47,-3.87
51.57,-3.87
51.67,-3.87
51.77,-4.14
51.87,-4.14
51.97,-3.87
52.07,-3.59
52.17,-3.87
52.27,-3.87
52.37,-3.87
52.47,-3.87
52.58,-3.87
52.68,-4.14
52.78,-3.87
52.88,-3.59
52.98,-3.87
53.08,-4.14
53.18,-4.14
53.28,-3.87
53.38,-3.59
53.48,-3.87
53.58,-3.87
53.69,-3.87
53.79,-4.14
53.89,-3.59
53.99,-3.87
54.09,-3.87
54.19,-3.59
54.29,-3.87
54.39,-4.14
54.49,-4.14
54.59,-4.14
54.69,-3.87
54.8,-3.87
54.9,-3.87
55,-3.87
55.1,-3.87
55.2,-4.14
55.3,-3.87
55.4,-4.14
55.5,-4.14
55.6,-3.59
55.7,-3.59
55.8,-3.87
55.91,-3.59
56.01,-3.59
56.11,-3.59
56.21,-3.87
56.31,-4.14
56.41,-3.87
56.51,-4.14
56.61,-3.87
56.71,-4.14
56.81,-4.14
56.92,-4.14
57.02,-3.87
57.12,-4.14
57.22,-3.87
57.32,-4.14
57.42,-3.59
57.52,-4.14
57.62,-4.14
57.72,-4.42
57.82,-3.87
57.92,-4.14
58.03,-3.31
58.13,-3.87
58.23,-3.87
58.33,-3.87
58.43,-3.59
58.53,-3.87
58.63,-3.87
58.73,-3.87
58.83,-4.14
58.93,-3.87
59.03,-3.87
59.14,-4.14
59.24,-4.14
59.34,-4.42
59.44,-4.14
59.54,-3.87
59.64,-4.14
59.74,-3.87
59.84,-3.87
59.94,-3.87
60.04,-3.59
60.14,-3.87
60.25,-3.87
60.35,-4.14
60.45,-3.87
60.55,-3.87
60.65,-3.87
60.75,-4.14
60.85,-4.14
60.95,-3.87
61.05,-4.14
61.15,-4.42
61.26,-4.14
61.36,-4.14
61.46,-3.87
61.56,-4.14
61.66,-3.87
61.76,-4.42
61.86,-3.87
61.96,-4.14
62.06,-3.87
62.16,-3.87
