Time (s),Voltage (V)
0.0,-35.32
0.1,-35.32
0.2,-35.88
0.3,-35.88
0.4,-35.32
0.5,-35.04
0.61,-35.32
0.71,-35.6
0.81,-35.32
0.91,-35.32
1.01,-35.32
1.11,-35.6
1.21,-35.32
1.31,-35.6
1.41,-35.6
1.51,-35.6
1.61,-35.04
1.72,-35.04
1.82,-35.04
1.92,-35.6
2.02,-35.6
2.12,-35.32
2.22,-35.6
2.32,-35.32
2.42,-35.6
2.52,-35.32
2.62,-35.6
2.72,-35.6
2.83,-35.32
2.93,-35.6
3.03,-35.88
3.13,-35.32
3.23,-35.6
3.33,-35.04
3.43,-35.32
3.53,-35.32
3.63,-35.32
3.73,-35.6
3.83,-35.32
3.94,-35.6
4.04,-35.6
4.14,-35.32
4.24,-35.6
4.34,-35.32
4.44,-35.88
4.54,-35.32
4.64,-35.32
4.74,-35.6
4.84,-35.32
4.94,-35.6
5.05,-35.6
5.15,-35.88
5.25,-35.6
5.35,-35.32
5.45,-35.32
5.55,-35.6
5.65,-35.6
5.75,-35.6
5.85,-35.6
5.95,-35.32
6.05,-35.04
6.16,-35.04
6.26,-35.32
6.36,-35.6
6.46,-35.6
6.56,-35.6
6.66,-35.32
6.76,-35.32
6.86,-35.32
6.96,-35.32
7.06,-35.88
7.16,-35.04
7.26,-35.32
7.37,-35.6
7.47,-35.6
7.57,-35.6
7.67,-35.88
7.77,-35.32
7.87,-35.6
7.97,-35.32
8.07,-35.32
8.17,-35.04
8.27,-35.04
8.38,-35.32
8.48,-35.04
8.58,-35.32
8.68,-35.6
8.78,-35.04
8.88,-35.32
8.98,-35.6
9.08,-35.6
9.18,-35.6
9.28,-35.6
9.38,-35.88
9.49,-35.32
9.59,-35.04
9.59,-35.04
9.69,-35.32
9.79,-35.04
9.89,-35.32
9.99,-35.32
10.09,-35.32
10.19,-35.04
10.29,-35.6
10.39,-35.6
10.49,-35.6
10.6,-35.6
10.7,-35.6
10.8,-35.32
10.9,-35.32
11.0,-35.32
11.1,-35.32
11.2,-35.6
11.3,-35.32
11.4,-35.32
11.5,-35.32
11.61,-35.32
11.71,-35.32
11.81,-35.32
11.91,-35.04
12.01,-35.04
12.11,-35.6
12.21,-35.6
12.31,-35.32
12.41,-35.6
12.51,-35.32
12.61,-35.32
12.72,-35.32
12.82,-35.32
12.92,-35.6
13.02,-35.32
13.12,-35.32
13.22,-35.04
13.32,-35.6
13.42,-35.6
13.52,-35.32
13.63,-35.32
13.73,-35.04
13.83,-35.32
13.93,-35.6
14.03,-35.32
14.13,-35.6
14.23,-35.32
14.33,-35.88
14.43,-35.6
14.53,-35.6
14.64,-35.6
14.73,-35.88
14.84,-35.32
14.94,-35.04
15.04,-35.32
15.14,-35.6
15.24,-35.32
15.34,-35.6
15.44,-35.32
15.54,-35.04
15.64,-35.6
15.75,-35.32
