Time (s),Voltage (V)
0.1,-11.38
0.2,-11.38
0.3,-11.66
0.4,-10.82
0.5,-3.03
0.61,-164.49
0.7,-180.36
0.81,-178.69
0.91,-177.3
1.01,-175.35
1.11,-174.79
1.21,-174.24
1.31,-173.12
1.41,-172.56
1.51,-171.73
1.61,-171.45
1.72,-171.45
1.82,-170.34
1.92,-170.34
2.02,-169.5
2.12,-169.22
2.22,-168.95
2.32,-168.67
2.42,-167.55
2.52,-167.55
2.62,-167.55
2.73,-167
2.83,-167
2.93,-166.16
3.03,-165.88
3.13,-165.88
3.23,-165.33
3.33,-165.33
3.43,-165.05
3.53,-164.77
3.63,-164.49
3.74,-164.49
3.84,-163.66
3.94,-163.93
4.04,-163.66
4.14,-163.38
4.24,-163.66
4.34,-162.82
4.44,-162.54
4.54,-162.26
4.64,-161.99
4.75,-161.99
4.84,-161.99
4.95,-161.43
5.05,-161.43
5.15,-160.87
5.25,-161.15
5.35,-160.87
5.45,-160.59
5.55,-160.59
5.65,-160.04
5.75,-159.76
5.86,-160.04
5.96,-159.76
6.06,-159.48
6.16,-159.48
6.26,-159.2
6.36,-158.92
6.46,-158.65
6.56,-158.65
6.66,-158.37
6.76,-158.09
6.86,-158.09
6.97,-157.81
7.07,-158.09
7.17,-157.81
7.27,-157.25
7.37,-157.53
7.47,-157.25
7.57,-156.98
7.67,-157.53
7.77,-156.98
7.87,-156.98
7.98,-156.7
8.08,-156.42
8.18,-155.86
8.28,-156.42
8.38,-155.86
8.48,-155.58
8.58,-156.14
8.68,-155.58
8.78,-155.31
8.88,-155.03
8.98,-154.75
9.09,-155.03
9.19,-155.03
9.29,-154.47
9.39,-155.03
9.49,-154.19
9.59,-154.47
9.69,-154.47
9.79,-154.19
9.89,-153.91
10,-153.63
10.1,-153.91
10.2,-153.36
10.3,-153.08
10.4,-153.63
10.5,-153.36
10.6,-152.8
10.7,-153.08
10.8,-152.52
10.9,-152.8
11,-152.8
11.11,-152.24
11.21,-152.8
11.31,-152.8
11.41,-152.52
11.51,-151.96
11.61,-152.24
11.71,-152.24
11.81,-151.69
11.91,-151.69
12.02,-151.96
12.11,-151.69
12.22,-151.41
12.32,-151.69
12.42,-150.85
12.52,-150.57
12.62,-150.85
12.72,-150.29
12.82,-150.29
12.92,-151.13
13.02,-150.85
13.13,-150.57
13.23,-150.29
13.33,-150.57
13.43,-150.29
13.53,-150.02
13.63,-150.02
13.73,-150.02
13.83,-149.74
13.93,-149.74
14.03,-149.46
14.14,-149.74
14.24,-149.46
14.34,-149.18
14.44,-149.18
14.54,-148.9
14.64,-148.9
14.74,-148.9
14.84,-149.18
14.94,-148.9
15.05,-148.62
15.15,-148.62
15.25,-148.07
15.35,-148.35
15.45,-148.62
15.55,-147.79
15.65,-148.07
15.75,-148.07
15.85,-147.79
15.95,-147.79
16.06,-147.51
16.16,-147.51
16.26,-147.79
16.36,-147.23
16.46,-147.23
16.56,-146.95
16.66,-146.68
16.76,-146.95
16.86,-147.51
16.96,-146.95
17.06,-146.68
17.17,-146.95
17.27,-146.95
17.37,-146.68
17.47,-146.68
17.57,-146.12
17.67,-146.4
17.77,-145.84
17.87,-146.12
17.97,-145.84
18.07,-145.28
18.18,-146.12
18.28,-145.84
18.38,-145
18.48,-145.56
18.58,-145.84
18.68,-145.28
18.78,-145.28
18.88,-145.56
18.98,-145.56
19.09,-145.56
19.19,-145
19.29,-145
19.39,-145.28
19.49,-145.28
19.59,-145
19.69,-144.73
19.79,-144.73
19.89,-144.17
20,-144.45
20.1,-144.17
20.2,-144.17
20.3,-143.89
20.4,-143.89
20.5,-144.17
20.6,-144.45
20.7,-144.17
20.8,-143.89
20.9,-143.61
21,-143.89
21.11,-143.89
21.21,-143.61
21.31,-143.61
21.41,-143.61
21.51,-143.33
21.61,-142.78
21.71,-143.06
21.81,-143.06
21.91,-143.06
22.02,-142.78
22.12,-142.78
22.22,-143.06
22.32,-143.33
22.42,-142.5
22.52,-142.78
22.62,-142.78
22.72,-142.22
22.82,-142.22
22.92,-142.22
23.02,-142.5
23.13,-142.22
23.23,-141.94
23.33,-141.94
23.43,-141.94
23.53,-141.94
23.63,-141.11
23.73,-141.39
23.83,-141.39
23.93,-141.39
24.03,-141.11
24.14,-141.66
24.24,-141.66
24.34,-141.11
24.44,-141.11
24.54,-141.11
24.64,-141.39
24.74,-141.11
24.84,-141.11
24.94,-140.55
25.05,-141.11
25.15,-140.83
25.25,-140.55
25.35,-140.55
25.45,-140.83
25.55,-140.27
25.65,-140.27
25.75,-140.27
25.85,-140.27
25.95,-139.99
26.05,-139.99
26.16,-140.27
26.26,-139.72
26.36,-139.99
26.46,-139.99
26.56,-140.27
26.66,-139.99
26.76,-139.99
26.86,-139.72
26.96,-139.44
27.07,-139.44
27.17,-139.44
27.27,-139.44
27.37,-139.16
27.47,-139.16
27.57,-139.16
27.67,-139.16
27.77,-139.16
27.87,-139.16
27.97,-139.44
28.08,-138.88
28.18,-138.88
